country,district,province,deaths_recovered,share_of_national_pct,notes,rdna_people_affected,rdna_households_affected,rdna_houses_damaged,rdna_share_buildings_pct
Nepal,Chitwan,Bagmati,367,25.29,Highest recovery count; downstream Narayani stretch,514.0,114.0,100.0,1.3
Nepal,Rasuwa,Bagmati,236,16.26,"Entry point / upper catchment (Rasuwagadhi, Timure, Syabrubesi)",7633.0,1923.0,1779.0,23.5
Nepal,Nuwakot,Bagmati,203,13.99,Heavy settlement and building damage,17082.0,4418.0,3977.0,52.5
Nepal,Gorkha,Gandaki,79,5.44,Trishuli corridor,1096.0,274.0,263.0,3.5
Nepal,Dhading,Bagmati,72,4.96,Trishuli corridor,6638.0,1588.0,1451.0,19.2
